L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,branch-instructions,branch-loads,branch-misses,bus-cycles,cache-misses,cache-references,iTLB-load-misses,instructions,node-loads,node-stores,class
268127,17982830,6548241,151042,22231,85409,10995516,6193213,64269,986533,57977,167247,6524,75715808,38631,10057,benign
1748,7531,9045,765,9,398,4849,7018,341,1223,0,1618,109,20928,0,0,benign
140057,11565639,3977835,29012,6378,25825,10463816,10349733,262451,1224853,21035,183478,1287,50999468,12931,1874,benign
386872,4296632,2961159,115750,1035,88990,6280508,2653896,35978,648251,13286,220234,3325,30796585,12232,451,benign
434,5959,3804,599,6,317,12214,4882,628,4886,1913,3699,62,56030,354,552,benign
126695,14100391,6679121,42291,757,33962,13223857,11937354,32297,931060,645,36523,2571,53691338,639,5,benign
3081,27823,18619,1563,284,1333,16269,16337,661,3862,344,4633,87,87584,283,58,benign
329755,6949680,3238960,196066,29668,143573,4787820,6873146,147372,945274,136348,198695,7545,36152024,85261,8424,benign
2121,9511,10088,688,8,750,6775,8810,432,2050,6,2164,98,30871,314,0,benign
539,3566,2339,987,388,418,4188,2538,444,3165,1413,2072,68,19553,360,33,benign
1708,7665,9462,770,1464,388,332293,7226,717,1346,7963,23493,120,1551539,3506,358,benign
2743,83806,28107,4102,1421,1681,59933,60084,2409,13509,4909,6515,310,331477,1239,202,benign
16597,405011,234987,19365,749,6804,2124411,376297,79542,347060,26387,233430,897,9856857,12942,1156,benign
1814821,11435293,10265183,278703,268,129276,9182760,9061094,33992,993244,412,237277,29602,48143076,304,103,benign
734660,10442003,3584582,176836,5769,96337,10298904,7571881,149332,913294,4398,209863,3021,29079654,2226,225,benign
455083,9704772,6184172,311245,1738,104709,7941607,7949379,64095,841745,2475,329484,14104,35953718,2417,4,benign
1825226,11447383,10325387,280694,137,127376,9517651,9073064,34766,990016,184,239583,29640,48849628,73,89,benign
456,34939,3876,5222,1660,2667,14928,24198,5688,8779,7007,20047,207,78984,3213,109,benign
3037,52433,32838,2736,818,1557,5817722,34397,52930,428084,17117,101400,10,24979682,15985,685,benign
2128,5980,10076,758,5,384,19210,4915,889,4642,19,4403,77,32226,18,0,benign
150876,10842868,4286414,37028,7457,29349,9676775,10798161,127440,1088292,14788,154882,1472,41929336,9005,954,benign
151428,1631691,8210485,89755,7551,32600,4602399,5143101,7790,904111,5582,36514,1658,3040709,4146,1251,benign
468,5947,3807,628,20,336,4948,4869,153,969,1,1045,60,21436,1,0,benign
2126,14258,13605,1720,532,754,7027,14718,476,1801,38,2600,188,33645,1,19,benign
471,6675,4538,957,218,611,7042,8547,418,1660,4,2367,140,33817,0,4,benign
305731,7726328,3397642,323391,614,167470,6936005,7298870,138824,914952,1837,536674,4566,28317980,944,307,benign
146032,11816722,3547026,41009,2674,31594,7423810,9233955,103910,900933,36865,259571,1433,46530754,16240,1943,benign
27682,106085,119415,4710,2884,6150,1853504,91521,18474,158800,5234,116356,167,7350200,4947,159,benign
72225,344692,128040,3873,1496,8352,37808,228928,779,6029,1247,5868,156,189542,1049,105,benign
520,6506,4420,1112,503,668,4887,8092,344,1263,1,1636,155,21126,3,0,benign
3570,31971,21317,1661,314,1695,16395,19141,575,3666,346,3958,89,87847,261,77,benign
543,3566,2341,1073,390,419,2552,2540,320,2895,1273,1859,70,11840,389,30,benign
757930,11910075,6639642,229843,9193,368315,11764600,9165126,36006,185358,30185,78408,4611,53827803,9608,1010,benign
214532,21238420,7344290,135594,26405,70528,6256191,5109392,58330,492311,45450,143596,4935,64504548,24517,19973,benign
28330,218463,182525,6340,580,3705,65245,164007,2778,19345,8595,14491,590,1856144,1585,579,benign
3219,28082,18755,2023,793,1362,16258,16570,628,3863,404,4403,100,84765,354,44,benign
2998,20875,19929,1292,180,1021,1976280,15295,50587,339317,43482,189804,151,9992601,19413,2231,benign
478,5949,3794,805,261,360,11919,4877,640,2154,3,3031,68,58332,1,0,benign
2127,14415,12788,1484,233,598,7009,10857,444,1776,863,3217,108,33558,278,0,benign
1788,7546,9087,1013,308,430,6361,7035,438,2471,355,2334,101,28372,281,11,benign
1798371,11310731,10226402,279669,811,129370,8815195,8969342,33905,996409,1232,284323,29955,31046848,875,306,benign
2344,14171,13007,1247,135,528,2012778,9292,12473,233131,156,50721,84,8679678,27,128,benign
304191,15488817,10821233,118150,41685,94463,12877193,13539661,131550,941500,41666,182512,1521,57714072,40625,601,benign
5593,111709,71968,7351,2119,2688,3016112,76897,43395,243516,24438,104010,212,13236779,23896,110,benign
306193,7792643,3410305,317619,475,165318,7152019,7403340,158231,927163,4290,488914,3590,28972586,2509,696,benign
190573,8146147,4190544,101678,24230,92946,9290477,6910556,50957,911561,18793,225500,3113,39774082,14403,978,benign
597,4173,2756,981,393,449,3646,3167,406,3082,910,2259,80,16341,435,22,benign
706090,11766742,7506552,218511,5600,164624,13477598,7873712,551301,1436004,7957,237781,15010,75574253,5876,1770,benign
174973,6412075,2696657,10906,21850,76019,4479223,574307,8291,879541,7160,31055,6976,64280965,7203,1109,benign
364799,15416538,6893371,242814,26602,122120,5007925,11281281,54963,547465,7142,54541,9775,21601934,4633,144,benign
2899,28115,18643,2324,1134,1438,16911,16583,550,5649,1809,4236,109,91720,815,94,benign
429,5998,3801,806,0,306,7005,4927,420,1638,313,2214,59,33517,259,12,benign
363373,9846762,5205708,337983,9587,119893,7524209,9667261,175191,845311,15727,456414,5718,30525680,9590,1033,benign
281570,5192637,1899950,125109,23753,111285,11224963,4573681,78491,933710,10388,235337,5695,46204201,8808,383,benign
580462,9578165,4232104,83264,63,330704,8794129,8828933,22854,992639,138,466336,1879,34377179,74,61,benign
218048,5434175,2783488,236139,25340,88848,2601,4262925,344,2939,1462,1721,7627,12102,347,21,benign
786139,12322953,6867928,229058,9662,289879,9127953,9542883,402664,997664,18257,508063,4139,45288346,7764,2410,benign
3176,27196,18591,2390,835,1335,15889,16067,576,6807,632,4210,98,84582,543,68,benign
3698,31789,21246,3003,926,1765,16639,19102,651,4091,452,4658,98,90452,319,87,benign
493145,10028493,6438386,313761,1329,105948,7829587,7834992,86698,1133744,136508,337342,10017,32852773,32873,7910,benign
